Metadata_Well,Metadata_pert_id_index
A01,69
A02,76
A03,28
A04,57
A05,36
A06,58
A07,19
A08,6
A09,20
A10,84
A11,NA
A12,54
A13,85
A14,15
A15,55
A16,89
A17,35
A18,82
A19,61
A20,40
A21,30
A22,83
A23,74
A24,39
B01,16
B02,34
B03,89
B04,52
B05,33
B06,15
B07,50
B08,63
B09,32
B10,21
B11,59
B12,33
B13,47
B14,72
B15,58
B16,49
B17,65
B18,NA
B19,23
B20,73
B21,62
B22,29
B23,56
B24,70
C01,64
C02,73
C03,48
C04,9
C05,80
C06,71
C07,42
C08,4
C09,72
C10,68
C11,12
C12,90
C13,67
C14,41
C15,38
C16,22
C17,11
C18,66
C19,81
C20,52
C21,59
C22,25
C23,43
C24,79
D01,15
D02,32
D03,77
D04,43
D05,82
D06,79
D07,40
D08,5
D09,75
D10,7
D11,39
D12,81
D13,70
D14,60
D15,24
D16,42
D17,NA
D18,36
D19,NA
D20,71
D21,71
D22,47
D23,64
D24,46
E01,70
E02,70
E03,78
E04,78
E05,13
E06,13
E07,NA
E08,NA
E09,60
E10,60
E11,56
E12,56
E13,5
E14,85
E15,7
E16,55
E17,45
E18,35
E19,75
E20,61
E21,87
E22,30
E23,88
E24,74
F01,63
F02,75
F03,11
F04,67
F05,34
F06,25
F07,NA
F08,89
F09,30
F10,55
F11,43
F12,77
F13,48
F14,13
F15,68
F16,23
F17,73
F18,20
F19,2
F20,37
F21,57
F22,68
F23,12
F24,NA
G01,73
G02,64
G03,9
G04,48
G05,71
G06,80
G07,4
G08,42
G09,68
G10,72
G11,90
G12,12
G13,3
G14,51
G15,14
G16,63
G17,31
G18,16
G19,34
G20,NA
G21,33
G22,53
G23,NA
G24,32
H01,74
H02,38
H03,45
H04,39
H05,61
H06,44
H07,38
H08,26
H09,21
H10,NA
H11,22
H12,51
H13,27
H14,57
H15,37
H16,86
H17,69
H18,4
H19,72
H20,64
H21,42
H22,1
H23,84
H24,58
I01,76
I02,69
I03,57
I04,28
I05,58
I06,36
I07,6
I08,19
I09,84
I10,20
I11,54
I12,NA
I13,NA
I14,67
I15,44
I16,38
I17,21
I18,11
I19,50
I20,81
I21,26
I22,59
I23,77
I24,43
J01,NA
J02,30
J03,51
J04,22
J05,5
J06,50
J07,52
J08,40
J09,31
J10,74
J11,87
J12,41
J13,46
J14,8
J15,78
J16,62
J17,76
J18,6
J19,19
J20,10
J21,NA
J22,24
J23,86
J24,18
K01,27
K02,2
K03,18
K04,1
K05,17
K06,49
K07,23
K08,62
K09,46
K10,29
K11,47
K12,10
K13,15
K14,3
K15,89
K16,14
K17,82
K18,31
K19,40
K20,34
K21,83
K22,33
K23,39
K24,NA
L01,41
L02,31
L03,7
L04,3
L05,66
L06,87
L07,3
L08,66
L09,25
L10,35
L11,79
L12,45
L13,18
L14,80
L15,10
L16,84
L17,9
L18,78
L19,60
L20,69
L21,80
L22,28
L23,4
L24,48
M01,24
M02,24
M03,37
M04,37
M05,NA
M06,NA
M07,65
M08,65
M09,8
M10,8
M11,86
M12,86
M13,41
M14,5
M15,22
M16,7
M17,66
M18,45
M19,52
M20,75
M21,25
M22,87
M23,79
M24,88
N01,88
N02,59
N03,81
N04,82
N05,26
N06,NA
N07,53
N08,11
N09,67
N10,83
N11,44
N12,88
N13,54
N14,12
N15,17
N16,56
N17,1
N18,17
N19,13
N20,2
N21,6
N22,NA
N23,36
N24,65
O01,2
O02,27
O03,1
O04,18
O05,49
O06,17
O07,62
O08,23
O09,29
O10,46
O11,10
O12,47
O13,51
O14,NA
O15,63
O16,44
O17,16
O18,21
O19,NA
O20,50
O21,53
O22,26
O23,32
O24,77
P01,85
P02,NA
P03,55
P04,53
P05,35
P06,61
P07,14
P08,14
P09,83
P10,16
P11,NA
P12,85
P13,28
P14,90
P15,90
P16,54
P17,29
P18,9
P19,49
P20,19
P21,8
P22,76
P23,20
P24,27
